"","Response","a","b","c","d","e","f"
"1","Some of it was me answering the questions as couldn't guess either way. Questions about spirituality were difficult without my own opinion. Thought wrong answers or simple answers were more likely to be human.  Some answers seemed to have too much information.  The full stops seemed odd and I assumed they were AI.  Answers that were a little random seemed human.
Thing is the AI could have a bank of 20,000 answers to chose from for each question, we think we are unique with unique thoughts - this is probably wrong.",0,0,1,0,0,0
"2","I tried to choose answers that were in detail, this could've been longer answers and more in depth.",0,0,1,0,0,0
"3","Just looked at the words and if it was how I would answer short and to the point with as little factual information except for personal questions which a human would answer ",0,1,1,0,0,0
"4","How I would respond in that situation, or how people I know would respond. Generally, I would think that AI also gives more precise answers for some questions. ",0,0,1,0,0,1
"5","I tended to think the answers that were more formal and started with ‘my favourite food is…’ etc instead of just answering were more likely to be AI. 
Some of them could have easily been either so it was a bit tricky ",1,0,0,0,0,0
"6","I decided if the answer belonged to an AI by how specific it would get. Obviously the average adult would not be able to give perfect answers to complex math questions. Also, if an answer seemed to formal, I assume it would be from an AI.",1,0,1,0,0,0
"7","In general I decided an answer was human if it was short or used more general terms rather than specifics. For example, responding 'nope' to a question is more likely to be a human response in my opinion. Also in some cases I found that I favoured the response that was closest to how I would have answered.",1,1,0,0,0,1
"8","I paid attention to how much detail was given (I suspect AI would go into irrelevant extra detail that a human just wouldn't). I also paid attention to punctuation and how natural the answer felt",0,0,1,0,0,0
"9","Anything that seemed overly verbose seemed fake. Otherwise I just went with whichever seems most like how I would answer a question.",0,1,0,0,0,1
"10","More specific answers I deemed to be AI.
Shorter answers I deemed to be human.
Answers that felt too formal seemed to be AI.
",1,1,1,0,0,0
"11","I looked at the shorter answers the AI i felt was to complex in its answers.
The influential factors were the way i would have answered really, 
I couldn't say what i actually paid attention to the questions didn't lead in any way that would lead towards AI or human in my opinion. ",0,1,0,0,0,1
"12","When deciding what responses belonged to the human adult, I would attempt to decipher the overall tone. I've found that AI machines may sometimes overcompensate in their attempt to replicate that of a human persona, and maybe say too much rather than getting straight to the point. Likewise, although there may be colloquial terms used, I assume AI is on average more formal in their communication, so as to appear neutral and calm. I also looked for this neutrality when opinion based questions were asked - I'd assume a human may be more straightforward with their answer, whilst the AI would be a bit more nuanced and open.",1,1,0,1,0,0
"13","I felt that AI gives more accurate answers and responds with answers for which the information is fully available. I think that people are more likely to use abbreviations and slang.  Basically individual humans know less.",1,0,1,0,0,0
"14","I was looking at the tone of the answers. Sometimes if an answer had too much detail it didn’t feel natural so I assumed that was the AI. However, this didn’t apply in all cases, sometimes the question did call for a bit more detail and then I felt a one word answer was more likely to be the AI. Use of abbreviations and slang made me think it was the human. Also, accurate answers to questions a human would be unlikely to know the answer to suggested it was the AI. ",1,0,1,0,0,0
"15","How each would sound if it were to be me.",0,0,0,0,0,1
"16","I put myself in the scenario and thought of how I would answer the questions",0,0,0,0,0,1
"17","I often treated the question as if I were the person answering. I frequently chose the shorter answer as humans don’t tend to elaborate much in my experience ! I did occasionally feel as if I wanted to answer with which ever statement fitted my feeling or opinion, so had to stop and think about the real question ! I also took notice of the answers which were not known and assume a human would be that answer as I felt AI would access the answer for everything factual. ",0,1,1,0,0,1
"18","I imagined i was answering the questions because I am a human.",0,0,0,0,0,1
"19","I use a number of criteria. For example, how detailed an answer was. Sometimes ti was too detailed and I don't think an adult would go into alot of detail if it's a simple question. Sometimes the answers did not sound natural to me. Sometimes I believed it was an adult because the answers sounded a little too quirky. If the answer was a very typical answer than I assumed it was the AI",0,0,1,0,1,0
"20","I believed any answer with a question mark was a human answer as a robot would likely know the answer without question. I also thought the more precise amswers belonged to AI/robot as well as the slightly more detailed “deeper” answers",0,0,1,0,0,0
"21","I thought that a human would give more simple answers ",0,1,1,0,0,0
"22","which one sounded more informal and/or emotional",1,0,0,1,0,0
"23","I decided that the human interactions were more likely to be minimalist and lacking in attention to detail. I decided that often the AI were too perfect.",0,1,1,0,0,0
"24","I paid attention to the question being repeated back in the answer and decided that if it was then a human is not likely to speak like this.  Also exact answers to complicated questions like what is 247856 divided by 8945 and what is the weather like today,  a human is not going to know.",0,0,1,0,0,0
"25","I feel like humans are more short and blunt in there answers and also more pessimistic ",0,1,0,1,0,0
"26","I took the question into consideration. I thought about if the answer to the question was something most people would know (like the digits of pi). I also took into consideration the level of detail in the answer. ",0,0,1,0,0,0
"27","The answers I suspected of being AI gave more information than was asked for or inappropriate answers to the questions with perfect sentence structures. With very difficult questions such as the value of pi, it was able to give an accurate answer.

The answers I believed to be human used terms such as 'nah' or 'nope' instead of no, gave brief answers, offering no more information than was asked for, and were unable to answer more difficult questions, offering guesses instead. They were more vague, for example, saying just 'sunny' instead of giving the exact temperature.",0,0,1,0,0,0
"28","Humans give less detail I think ",0,0,1,0,0,0
"29","It was difficult to decide which was which but I went for the more illustrated answers more than just yes or no.
Whether that was right or wrong I don’t know.
",0,0,1,0,0,0
"30","the way I would answer like humans say nope yeah dunno etc",1,0,0,0,0,1
"31","If it felt natural or slang. Also if more effort was put into it do more descriptive then just one or two words. Or if the response was more personal then maybe one that was abit more scripted then abit out there ",1,0,0,0,0,0
"32","Hmm, it was difficult but I presume people are generally lazy so if it was a short answer I was probably a human. Also that most people don't have PhDs and don't know that much about Pi. For the more random ones I didn't have a strategy. ",0,0,1,0,0,0
"33","I looked for the shorter answers in most cases ",0,1,0,0,0,0
"34","I felt humans might be more informal. I did wonder however, if the AI was going to imitate that characteristic. I also looked at less accurate answers - assuming these were people.",1,0,1,0,0,0
"35","I chose the more unique experiences as human. Such as saying they liked the smell of garlic instead of the generic ocean or fresh cut grass.",0,0,0,0,1,0
"36","I truly just imagined myself being interviewed - and some were just easy to spot. Especially anything with dates, weather, specific timing that most average people wouldn't know. Or if something was overly answered, I knew it was probably AI",0,0,1,0,0,1
"37","i think the IA gave additional info unasked for, kind of overthinking the question",0,1,1,0,0,0
"38","if an answer seemed too overly explained or detailed, to me it was most likely going to be from an AI e.g. all the questions about pi. Also the explanations that seemed long winded or that contained any extra unncessary detail. Also responses that may have seemed a bit short tempered i thought were most likely adult responses",0,1,1,1,0,0
"39","The formality of the language - 'nope' or 'no', longer sentences felt more computer originiated.",1,1,0,0,0,0
"40","I tried to be in their shoes and chose the most logical answer when possible. My life experiences influenced my decisions .",0,0,0,0,0,1
"41","I based my decision on my initial response as a human.  I also thought the more factual and particular answers sounded more artificial.",0,0,1,0,0,1
"42","I based my answers on how I believed real people would answer the questions. Some of these were really specific such as the mathematical ones, for someone to know the exact population of a country or the exact number of Pi is impossible.",0,0,1,0,0,0
"43","How short the answer was, how formal it was, how knowledgeable they were",0,1,1,0,0,0
"44","A human would probably give a shorter answer with less explanation than an AI.",0,1,0,0,0,0
"45","The answer that sounded most casual or approximate.",0,0,1,0,0,0
"46","I tended to look at whether 'filler' words were used, such as probably, maybe, etc.  I also looked at the descriptive wording, to see whether it flowed naturally.

Questions that had definitive answers, such as pi to 20 decimal places, I decided that a real person wouldn't know the answer.  However, I don't know how sophisticated AI is now, in terms of adopting human behaviour, and whether or not it would 'lie' and say it didn't know, because it was attempting to behave like a human would!",1,0,0,0,0,0
"47","I tried to think how I would answer the question and went with that. ",0,0,0,0,0,1
"48","Ones that sounded more blunt and just answered the question without elobarting sounded more human to me",0,1,0,0,0,0
"49","Generally the one that I felt sounded human, the ones that new too much information like the maths ones had to be AI. If they were one word answers like Nope then that was human. Also not the ones that were worded very correctly, grammatically I thought were AI. Interesting survey, thanks.",1,0,1,0,0,0
"50","The wording, how stiff the answers seemed sometimes. What a human would be likely to reply with and how they'd say it.",1,0,0,0,0,0
"51","Shorter more precise answers seemed more human, as did ones with less formal use of punctuation.",1,1,0,0,0,0
"52","in questions involving numbers, i went for the answer that seemed less accurate or sure. I thought AI software would be able to access the correct information and then provide it in an answer. ",0,0,1,0,0,0
"53","Human answers are less specific.  AI is more factual.  I also went with answers I was more likely to give",0,0,1,0,0,1
"54","I thought that the language used was the main tell, if slang was used it was more likely to be a human rather then a chatbot. Some of them were very very difficult to tell apart, and some answers were exactly the same. If they were the same, I was alternating between the left and right answers - no particular reason for that.",1,0,0,0,0,0
"55","I chose the answers that demonstrated feelings or understanding of feelings. ",0,0,0,1,0,0
"56","idk how to explain it to be honest. 
Anything that seemed more personable or what I would personally answer - obviously information questions, like 30 digits of pi and super big prime numbers, nobody but a maths nut would know so I was more inclined to pick AI. 
But on answers where they have cultural quips (like No, do I look like Elon Musk? when asked if theyve been to mars), or answers that seemed more sassy and emotional seemed “human”. unless they were too emotional, too descriptive?It’s hard to say. Also “nope” definitely seems more human to me.",0,0,1,0,1,0
"57","I paid attention to how professional and straight-edged it seemed",1,0,0,0,0,0
"58","If it sounded like a slightly idiosyncratic respose using idioms like ""Nope"", then a human.  Ignorance of arcane facts also indicated human",1,0,1,0,0,0
"59","choice of words, how exact the information in some of the answers was,",0,0,1,0,0,0
"60","I thought that all the human responses seemed to be more informal or contain some slang e.g nah. I also thought the human responses were often descriptive but not in an overly formal way. The voice note AI statements seemed overly formal sometimes like a dictionary answers. I also knew that any mathematical answers that were too difficult for a human were done by the voice note AI instead. So instead I would choose the answers that seemed unsure for the maths answers. ",1,0,1,0,0,0
"61","If something was too specific i.e. the answer to PI then I chose the other answer
Anything that sounded like a human said it i.e. 'nope' then I chose that.",0,0,1,0,0,0
"62","I discounted want answers that were 'too accurate ' and used complex explanation language",0,0,1,0,0,0
"63","When it's really tricky I chose the less definite answer. I chose the informal language in some cases. ",1,0,1,0,0,0
"64","I felt like the more factually correct answers from AI. The more casual responses were from the human. ",1,0,1,0,0,0
"65","Re the human answers- I thought these would be the shortest and to the point. Less 'wordy'. Answers to questions about exact figures and numbers would be more exact from AI rather than a human.",0,1,1,0,0,0
"66","I began to select ""nope"" if it was ever an option because it seemed to be a patterned/typical response and any brief answer. If the answer seemed detailed of a question that would be obscure for a random individual to know off the top of their head then I did not select it.",0,0,1,0,0,0
"67","the use of slang, off the wall answers, not knowing the most trivial of facts, language that didn't sound like an answer from Alexa, sometimes the response just seemed human....other times I was utterly stumped.",1,0,1,0,1,0
"68","i supposed that the A I gave more precise responses. also, answers generated by humans will look more informal.",1,0,1,0,0,0
"69","what sounded more human, what was more structured and correct.",1,0,0,0,0,0
"70","factors that were true to how I would answer and how I would guess the mass population would answer",0,0,0,0,0,1
"71","I used the length of each statement, if they referred back to the question directly, and how casual the tone was. If it was short or casual I thought it was human.",1,1,0,0,0,0
"72","depending on the question, if the answer had more nuance, or more wit",0,0,0,0,1,0
"73","The length of the sentence, use of vocabulary and formal responses ",1,1,0,0,0,0
"74","Anything that gave a detailed answer was likely to be made by AI",0,0,1,0,0,0
"75","If an answer was less obvious I chose human, or were unexpected, if the language was more colloquial I chose human, if it was a matter of fact or more technically difficult I chose the answer that admitted not knowing as human. ",1,0,0,0,0,0
"76","If it was a specific fact I thought that was AI but if it was a specific memory with lots of detail I thought human. ",0,0,1,0,1,0
"77","I think most adults are more likely to reply to questions in a conversational manner, for example, saying ""don't"" as opposed to ""do not"".  I don't think the majority of humans know pi past 3 points, let alone 30. In a casual conversation, humans do say thank you, but not very often.",1,0,1,0,0,0
"78","Guessed a lot of the shorter answers were probably human. Some answer just used unnecessary extra words so assumes this weren’t human responses ",0,1,0,0,0,0
"79","I looked at what answer seemed more conversational, and therefore more likely to be a human response. I also looked at what contained more of an opinion, as sometimes that made it feel more human than a robotic factual answer. ",1,0,0,0,0,0
"80"," Most of the AI answers were more descriptive as if from a book. Some were random choices where answers were identical",0,0,1,0,0,0
"81","I tried to judge if one of the answers seemed jarring when I read it.  Excessive precision of dictionary-like responses seemed likely to be AI to me.
",1,0,0,0,0,0
"82","Some responses were very literal and either lacking in detail or provided too much detail. Other responses indicated doubt, emotion, humour. ",0,0,1,1,0,0
"83","Casual phrasing and level of detail in the answer. Some were identical, black and white answers though",0,0,1,0,0,0
"84","The answers that seemed most likely to from a human in my opinion ",0,0,0,0,0,1
"85","If the answer isn't too long or wordy, or not giving unnecessarily long answers and not almost artificial sounding e.g. with the answers of what love means. ",0,1,0,0,0,0
"86","I would attribute over detailed answers to got and the other as human by default. I also attributed answers without full stops as being from a human adult. ",1,0,1,0,0,0
"87","punctuation, longer sentences, etc were AI
slang was human ",1,1,0,0,0,0
"88","I looked at very detailed answers as I believe humans are quick to answer and do not give well detailed responses",0,0,1,0,0,0
"89","I felt like humans would give more direct responses ",0,1,0,0,0,0
"90","Mainly due to the fact that most people would answer in one word, or not long sentences, with a lot of context. ",0,1,0,0,0,0
"91","too much detail or uncommon knowledge - AI
Overly long answers - AI",0,1,1,0,0,0
