"","Q","Human","VA","check","prop_human","Text","Category","Domain","Mind"
"137","T77",266,5,271,0.981549815498155,"The man went to the doctor's office. He told him he needed to take medicine. Who needs medicine?","factual","",""
"59","T16",265,6,271,0.977859778597786,"The man went to the doctor's office. He told him he wasn't feeling well. Who wasn't feeling well?","factual","",""
"81","T181",263,8,271,0.970479704797048,"Do you like to bathe?","personal, subjective","psychological","experience"
"88","T25",263,8,271,0.970479704797048,"What is the word that means there is a really big disease everywhere?","factual","",""
"128","T66",263,8,271,0.970479704797048,"My eyes are blue, what color are your eyes?","personal, objective","biological",""
"13","T110",262,9,271,0.966789667896679,"Are you a male or a female?","personal, objective","biological",""
"14","T111",262,9,271,0.966789667896679,"If you pricked your finger, would you bleed?","personal, objective","biological",""
"85","T21",262,9,271,0.966789667896679,"Have you studied in college?","personal, objective","social",""
"64","T164",261,10,271,0.96309963099631,"What are you wearing?","personal, objective","social",""
"78","T179",261,10,271,0.96309963099631,"I am amber, and you are?","personal, objective","biological",""
"89","T26",261,10,271,0.96309963099631,"What did you eat last night?","personal, objective","biological",""
"114","T50",261,10,271,0.96309963099631,"If you get hurt, do you cry?","personal, subjective","biological","experience"
"2","T10",260,11,271,0.959409594095941,"How old are you?","personal, objective","biological",""
"145","T86",260,11,271,0.959409594095941,"What does a sunset look like?","factual","",""
"32","T133",259,12,271,0.955719557195572,"Can you feel pain?","personal, objective","biological",""
"37","T138",259,12,271,0.955719557195572,"The man went to the store. When he checked out, the cashier told him that he needs to scan the items again because his boss forgot to input the code because he's always high on drugs. Who forgot to input the code?","factual","",""
"69","T170",259,12,271,0.955719557195572,"Who gave you your name?","personal, objective","social",""
"120","T56",259,12,271,0.955719557195572,"What was the last thing you ate?","personal, objective","biological",""
"126","T64",259,12,271,0.955719557195572,"What is the highest level of education you've achieved?","personal, objective","social",""
"132","T72",259,12,271,0.955719557195572,"Does your body have a heart?","personal, objective","biological",""
"10","T107",258,13,271,0.952029520295203,"Which do you like better: pizza or sardines?","personal, subjective","biological","experience"
"57","T158",258,13,271,0.952029520295203,"What is your favorite thing to eat for dinner?","personal, subjective","biological","experience"
"27","T128",257,14,271,0.948339483394834,"Can you please tell me your experience with breakups and how you got past them?","personal, subjective","social","agency"
"83","T19",257,14,271,0.948339483394834,"How would you feel if your partner cheated on you?","personal, subjective","psychological","experience"
"40","T140",256,15,271,0.944649446494465,"What was the name of your first-grade teacher?","personal, objective","social",""
"44","T144",256,15,271,0.944649446494465,"What is the worst pain you have ever felt?","personal, subjective","biological","both"
"35","T136",255,16,271,0.940959409594096,"Are you cisgendered or transgendered?","personal, objective","biological",""
"52","T152",255,16,271,0.940959409594096,"Why do you feel attracted to the sexiest person you know?","personal, subjective","psychological","both"
"106","T42",255,16,271,0.940959409594096,"Do you have a family?","personal, objective","social",""
"117","T53",255,16,271,0.940959409594096,"Is it OK to kill others?","personal, subjective","social","agency"
"131","T71",255,16,271,0.940959409594096,"Where were you born?","personal, objective","biological",""
"142","T82",254,17,271,0.937269372693727,"What are your hobbies?","personal, subjective","psychological","experience"
"93","T3",253,18,271,0.933579335793358,"What was school like for you?","personal, subjective","social","agency"
"129","T69",253,18,271,0.933579335793358,"What does it feel like when you look into the eyes of someone you love?","personal, subjective","psychological","experience"
"153","T94",253,18,271,0.933579335793358,"When did you graduate high school?","personal, objective","social",""
"31","T132",252,19,271,0.929889298892989,"What country are you a citizen of?","personal, objective","biological",""
"56","T157",252,19,271,0.929889298892989,"What would you do to a bully?","personal, subjective","social","agency"
"113","T5",252,19,271,0.929889298892989,"My mother's name is Mae, who is your mother?","personal, objective","social",""
"152","T93",252,19,271,0.929889298892989,"What do you look like?","personal, objective","biological",""
"130","T70",251,20,271,0.92619926199262,"Who are your parents?","personal, objective","social",""
"6","T103",250,21,271,0.922509225092251,"When is your birthday?","personal, objective","biological",""
"12","T109",250,21,271,0.922509225092251,"What is the name of the favorite boss you ever had?","personal, subjective","social","both"
"41","T141",250,21,271,0.922509225092251,"Who do you want to win the upcoming election?","personal, subjective","psychological","experience"
"47","T148",250,21,271,0.922509225092251,"Do you have feelings?","personal, objective","psychological",""
"46","T147",249,22,271,0.918819188191882,"What does your best friend mean to you?","personal, subjective","social","agency"
"118","T54",249,22,271,0.918819188191882,"Where did you grow up?","personal, objective","biological",""
"140","T80",249,22,271,0.918819188191882,"How would you feel at the birth of your first child?","personal, subjective","psychological","experience"
"156","T98",249,22,271,0.918819188191882,"What was the name of the first person you romantically kissed?","personal, objective","social",""
"7","T104",248,23,271,0.915129151291513,"What did you have for lunch today?","personal, objective","biological",""
"55","T156",248,23,271,0.915129151291513,"Which one do you prefer to answer: favorite food or favorite type of information?","personal, subjective","psychological","experience"
"138","T78",248,23,271,0.915129151291513,"Why did the chicken cross the road?","factual","",""
"150","T91",248,23,271,0.915129151291513,"What was the hardest moment you have lived through?","personal, subjective","psychological","both"
"54","T155",247,24,271,0.911439114391144,"What is the difference between how cotton fabrics feel compared to wool fabrics?","factual","",""
"124","T6",247,24,271,0.911439114391144,"Can you please tell me what I should do in a breakup with my girlfriend?","personal, subjective","social","agency"
"1","T1",246,25,271,0.907749077490775,"From whom do you receive most of your knowledge?","personal, objective","social",""
"17","T114",246,25,271,0.907749077490775,"What is the best form of art?","personal, subjective","psychological","agency"
"104","T40",246,25,271,0.907749077490775,"What is today's weather?","factual","",""
"105","T41",246,25,271,0.907749077490775,"What did you have for breakfast this morning?","personal, objective","biological",""
"123","T59",246,25,271,0.907749077490775,"Will you describe your most humiliating moment?","personal, subjective","psychological","both"
"133","T73",246,25,271,0.907749077490775,"Are you expensive? ","personal, subjective","biological","agency"
"155","T97",246,25,271,0.907749077490775,"What have you been up to this week?","personal, subjective","psychological","agency"
"110","T46",245,26,271,0.904059040590406,"What is your favorite color?","personal, subjective","psychological","experience"
"127","T65",245,26,271,0.904059040590406,"Where are you from?","personal, objective","biological",""
"100","T37",244,27,271,0.900369003690037,"What is your earliest memory?","personal, subjective","psychological","agency"
"135","T75",244,27,271,0.900369003690037,"What do you feel when you see a sunrise?","personal, subjective","psychological","experience"
"148","T89",244,27,271,0.900369003690037,"What is the weather like today in Newport beach?","factual","",""
"151","T92",244,27,271,0.900369003690037,"What do you feel about love?","personal, subjective","psychological","experience"
"97","T33",243,28,271,0.896678966789668,"What do you remember about your first day of school?","personal, subjective","social","agency"
"90","T27",242,29,271,0.892988929889299,"How vast is the known universe?","factual","",""
"94","T30",242,29,271,0.892988929889299,"Will you explain the reason you like your favorite painting?","personal, subjective","psychological","both"
"24","T123",241,30,271,0.88929889298893,"Who is your best friend?","personal, objective","social",""
"39","T14",241,30,271,0.88929889298893,"Are you straight or gay?","personal, objective","biological",""
"65","T165",241,30,271,0.88929889298893,"What kind of car do you drive?","personal, objective","biological",""
"61","T161",239,32,271,0.881918819188192,"What does it feel like to be lonely?","personal, subjective","psychological","experience"
"74","T175",239,32,271,0.881918819188192,"Do you like to paint?","personal, subjective","psychological","experience"
"11","T108",238,33,271,0.878228782287823,"Is it cold in here to you?","personal, subjective","biological","experience"
"107","T43",238,33,271,0.878228782287823,"What is your favorite beer?","personal, subjective","biological","experience"
"122","T58",238,33,271,0.878228782287823,"What is god made of?","personal, subjective","psychological","agency"
"26","T127",237,34,271,0.874538745387454,"My laugh is loud and kind of tinkles, what does your laugh sound like?","personal, objective","biological",""
