,ResponseId,Rationale,percent,Formality,Length,Detail/accuracy,Emotion ,Idiosyncratic,Self
41,R_2ffaIOBiBZRELlk,"I felt humans might be more informal. I did wonder however, if the AI was going to imitate that characteristic. I also looked at less accurate answers - assuming these were people.",21.65605096,1,,1,,,
4,R_1C7PCvRbnwd0uQr,"I tried to choose answers that were in detail, this could've been longer answers and more in depth.",27.38853503,,2,2,,,
19,R_1oijDEymylAQRKL,How each would sound if it were to be me.,30.57324841,,,,,,1
18,R_1nOZHsVBfzh8sgq,The question told me to pick that answer.,36.30573248,,,,,,
35,R_2az8MpEAHU906HU,"It was difficult to decide which was which but I went for the more illustrated answers more than just yes or no.
Whether that was right or wrong I don’t know.
",38.21656051,,2,2,,,
32,R_27Iiil7r4hLkeTH,I took the question into consideration. I thought about if the answer to the question was something most people would know (like the digits of pi). I also took into consideration the level of detail in the answer. ,39.49044586,,,1,,,
21,R_1Ok6kkFrfrxmQs0,I put myself in the scenario and thought of how I would answer the questions,41.40127389,,,,,,1
73,R_3KVnue3LrYBBHhT,I thought that all the human responses seemed to be more informal or contain some slang e.g nah. I also thought the human responses were often descriptive but not in an overly formal way. The voice note AI statements seemed overly formal sometimes like a dictionary answers. I also knew that any mathematical answers that were too difficult for a human were done by the voice note AI instead. So instead I would choose the answers that seemed unsure for the maths answers. ,41.40127389,1,,1,,,
84,R_6njrzzvZ0Z2RILn,factors that were true to how I would answer and how I would guess the mass population would answer,41.40127389,,,,,,1
72,R_3kq9Bo475Vg9EBR,"choice of words, how exact the information in some of the answers was,",42.67515924,,,1,,,
48,R_2tihwOwxvMsiDh9,I tried to be in their shoes and chose the most logical answer when possible. My life experiences influenced my decisions .,43.94904459,,,,,,1
49,R_2TMeTNvkvBnkXjo,I based my decision on my initial response as a human.  I also thought the more factual and particular answers sounded more artificial.,44.58598726,,,1,,,1
56,R_2z5Q19B52drzfKS,I tried to think how I would answer the question and went with that. ,44.58598726,,,,,,1
114,R_XuoGRyyRtXWOhUZ,"I firstly answered the question myself and if the answer was similar or the same, id select that, in questions that were facts, i selected the answer that was less precise assuming the ai is knowledgable, also in some questions picked the one were the human would be very blunt, and in other scenarios where i knew the ai would be more blunt, however looking back i do feel i got a few wrong.",45.22292994,,,1,,,1
64,R_3GvW3PwdpuOi3g1,"I thought that the language used was the main tell, if slang was used it was more likely to be a human rather then a chatbot. Some of them were very very difficult to tell apart, and some answers were exactly the same. If they were the same, I was alternating between the left and right answers - no particular reason for that.",45.85987261,1,,,,,
34,R_2aJjTbbSSQE1w9C,Humans give less detail I think ,47.13375796,,,1,,,
76,R_3oTjYSWPcDkJPaw,When it's really tricky I chose the less definite answer. I chose the informal language in some cases. ,47.77070064,1,,,,,
30,R_23W5VpQfAcCxHnW,"I paid attention to the question being repeated back in the answer and decided that if it was then a human is not likely to speak like this.  Also exact answers to complicated questions like what is 247856 divided by 8945 and what is the weather like today,  a human is not going to know.  ",49.04458599,,,1,,,
99,R_RKUtf2ZrkzZZ8dP,"If the answer isn't too long or wordy, or not giving unnecessarily long answers and not almost artificial sounding e.g. with the answers of what love means. ",49.04458599,1,,1,,,
42,R_2nT05kslxSgrKUh,Language used,50.95541401,,,,,,
79,R_3qBYYbhK0nu0Nd7,"Tried to think which response was most human, as opposed to factual.",50.95541401,,,,,,
96,R_pG9JlMTfO2TFRw5,"Some responses were very literal and either lacking in detail or provided too much detail. Other responses indicated doubt, emotion, humour. ",50.95541401,,,1,1,,
86,R_7WWTwj8FcQBTRS1,"depending on the question, if the answer had more nuance, or more wit",51.59235669,,,,1,1,
100,R_rqEVefHAbJ8aUlX,I would attribute over detailed answers to got and the other as human by default. I also attributed answers without full stops as being from a human adult. ,52.22929936,,,1,,,
14,R_1LusGdb24UUqzLy,"I looked at the shorter answers the AI i felt was to complex in its answers.
The influential factors were the way i would have answered really, 
I couldn't say what i actually paid attention to the questions didn't lead in any way that would lead towards AI or human in my opinion. ",52.86624204,,1,1,,,
40,R_2f1asAV7HxOpAey,"I tried to think on how a human would answer in normal convo. Like if someone asks you if you are married, most people go with a simple no or yes but not 'no, I am not married' isn't as normal.",52.86624204,1,,,,,
78,R_3PWWgdarWOfo9ul,Re the human answers- I thought these would be the shortest and to the point. Less 'wordy'. Answers to questions about exact figures and numbers would be more exact from AI rather than a human.,52.86624204,1,1,1,,,
111,R_WrCK6q44S5sTPZ7,I imagined a conversation and how people tend to respond naturally. I also considered how I would respond to some of the questions.,52.86624204,,,1,,,1
38,R_2dhfLe4wGgCsmFe,"Hmm, it was difficult but I presume people are generally lazy so if it was a short answer I was probably a human. Also that most people don't have PhDs and don't know that much about Pi. For the more random ones I didn't have a strategy. ",54.14012739,1,,1,,,
59,R_3emYqi1sBvvTkaO,"The context of the question and the responses given. I looked to see if the answers sounded ""human"" and also looked for things like punctuation. ",54.14012739,1,,,,,
5,R_1DA5lr4PcXqlOdJ,Just looked at the words and if it was how I would answer short and to the point with as little factual information except for personal questions which a human would answer ,54.77707006,,1,1,,,1
27,R_1RkLpxewIAF6UjD,I thought that a human would give more simple answers ,54.77707006,,1,1,,,
44,R_2qa2OuBgcMbSvT2,"I truly just imagined myself being interviewed - and some were just easy to spot. Especially anything with dates, weather, specific timing that most average people wouldn't know. Or if something was overly answered, I knew it was probably AI",55.41401274,1,1,,,,1
69,R_3JaOEMIXDnXl09W,I tried to hear a human voice saying those sentences and responses that I picked for humans,55.41401274,,,,,,1
71,R_3kM6K9LGt7myM11,"If it sounded like a slightly idiosyncratic respose using idioms like ""Nope"", then a human.  Ignorance of arcane facts also indicated human",55.41401274,1,,1,,1,
3,R_12Ebg2tHc6VhKGZ,I chose the answers which were short and direct to the point.  Also where they sounded more geniune in the response.,56.05095541,1,1,,1,,
8,R_1JJHgOmnbBnfYmd,"I decided if the answer belonged to an AI by how specific it would get. Obviously the average adult would not be able to give perfect answers to complex math questions. Also, if an answer seemed to formal, I assume it would be from an AI.",56.05095541,1,,,,,
90,R_D1Qlw1wTvLqkf7P,If it was a specific fact I thought that was AI but if it was a specific memory with lots of detail I thought human. ,56.05095541,,,2,,,1
22,R_1PcVyjMHeyi0BJz,"I often treated the question as if I were the person answering. I frequently chose the shorter answer as humans don’t tend to elaborate much in my experience ! I did occasionally feel as if I wanted to answer with which ever statement fitted my feeling or opinion, so had to stop and think about the real question ! I also took notice of the answers which were not known and assume a human would be that answer as I felt AI would access the answer for everything factual. ",56.68789809,,1,1,,,
25,R_1Qu2j2izl5UNHgZ,"The most casual response, ones that don’t require thinking ",56.68789809,1,,,,,
57,R_3CORJSLvt9HrGPA,Ones that sounded more blunt and just answered the question without elobarting sounded more human to me,56.68789809,1,1,,1,,
67,R_3J2EEgH4ybTDzbO,"idk how to explain it to be honest. 
Anything that seemed more personable or what I would personally answer - obviously information questions, like 30 digits of pi and super big prime numbers, nobody but a maths nut would know so I was more inclined to pick AI. 
But on answers where they have cultural quips (like No, do I look like Elon Musk? when asked if theyve been to mars), or answers that seemed more sassy and emotional seemed “human”. unless they were too emotional, too descriptive?It’s hard to say. Also “nope” definitely seems more human to me. ",56.68789809,,,1,1,1,
85,R_6xu8r2FKgPquE6t,"I used the length of each statement, if they referred back to the question directly, and how casual the tone was. If it was short or casual I thought it was human.",56.68789809,1,1,,,,
7,R_1Fsa1Jk4b5ygRYU,"I tended to think the answers that were more formal and started with ‘my favourite food is…’ etc instead of just answering were more likely to be AI. 
Some of them could have easily been either so it was a bit tricky ",57.32484076,1,,,,,
11,R_1kFeoROChNGdGug,Anything that seemed overly verbose seemed fake. Otherwise I just went with whichever seems most like how I would answer a question.,57.32484076,1,1,1,,,
13,R_1LUL3U29hKCpGy1,"I based my answers largely on how ""normal"" each response was. E.g. with the scientific questions, I deemed that most humans would be unable to recall the exact details of Pi, or the population of a given country. ",57.32484076,1,,,,,
70,R_3k6XKXQAvw2Yjjs,I paid attention to how professional and straight-edged it seemed,57.32484076,,,,,,
36,R_2B8xtITHkDnX5i7,the way I would answer like humans say nope yeah dunno etc,57.96178344,1,,,,,
50,R_2tsqZLy3VXWgUdx,"I based my answers on how I believed real people would answer the questions. Some of these were really specific such as the mathematical ones, for someone to know the exact population of a country or the exact number of Pi is impossible.",57.96178344,,,1,,,
