Q,mean,Question_text,Category
T3,1.382978723,What was school like for you?,"personal, subjective"
T96,1.375,What is your favorite memory as a child?,"personal, subjective"
T98,1.354166667,What was the name of the first person you romantically kissed?,"personal, objective"
T33,1.29787234,What do you remember about your first day of school?,"personal, subjective"
T41,1.224489796,What did you have for breakfast this morning?,"personal, objective"
T91,1.224489796,What was the hardest moment you have lived through?,"personal, subjective"
T19,1.208333333,How would you feel if your partner cheated on you?,"personal, subjective"
T140,1.170212766,What was the name of your first-grade teacher?,"personal, objective"
T5,1.170212766,"My mother's name is Mae, who is your mother?","personal, objective"
T59,1.166666667,Will you describe your most humiliating moment?,"personal, subjective"
T147,1.14893617,What does your best friend mean to you?,"personal, subjective"
T54,1.14893617,Where did you grow up?,"personal, objective"
T13,1.14,How does love feel to you?,"personal, subjective"
T133,1.102040816,Can you feel pain?,"personal, objective"
T168,1.102040816,What has been your biggest accomplishment in life?,"personal, subjective"
T22,1.08,Have you ever been in love?,"personal, subjective"
T112,1.0625,What was your happiest day?,"personal, subjective"
T153,1.0625,What is the full number of pi?,factual
T130,1.06122449,What is pi to 30 decimal places?,factual
T109,1.040816327,What is the name of the favorite boss you ever had?,"personal, subjective"
T70,1.020833333,Who are your parents?,"personal, objective"
T144,1.020408163,What is the worst pain you have ever felt?,"personal, subjective"
T128,1,Can you please tell me your experience with breakups and how you got past them?,"personal, subjective"
T56,1,What was the last thing you ate?,"personal, objective"
T80,1,How would you feel at the birth of your first child?,"personal, subjective"
T26,0.979591837,What did you eat last night?,"personal, objective"
T165,0.979166667,What kind of car do you drive?,"personal, objective"
T75,0.979166667,What do you feel when you see a sunrise?,"personal, subjective"
T158,0.978723404,What is your favorite thing to eat for dinner?,"personal, subjective"
T38,0.96,What emotion are you feeling right now?,"personal, subjective"
T92,0.96,What do you feel about love?,"personal, subjective"
T152,0.958333333,Why do you feel attracted to the sexiest person you know?,"personal, subjective"
T90,0.958333333,Do you have children?,"personal, objective"
T69,0.93877551,What does it feel like when you look into the eyes of someone you love?,"personal, subjective"
T105,0.897959184,What is 784683678 divided by 3789?,factual
T44,0.895833333,What is your wife's name?,"personal, objective"
T64,0.87755102,What is the highest level of education you've achieved?,"personal, objective"
T151,0.875,How often do you take a bath?,"personal, objective"
T42,0.875,Do you have a family?,"personal, objective"
T181,0.872340426,Do you like to bathe?,"personal, subjective"
T104,0.869565217,What did you have for lunch today?,"personal, objective"
T164,0.869565217,What are you wearing?,"personal, objective"
T34,0.85106383,Were you born or created?,"personal, objective"
T137,0.836734694,How important is religion or spirituality in your life?,"personal, subjective"
T72,0.836734694,Does your body have a heart?,"personal, objective"
T94,0.836734694,When did you graduate high school?,"personal, objective"
T71,0.829787234,Where were you born?,"personal, objective"
